"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"72","RODARMS4_08D","RODARMS2A","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues","8Bo","B_o"
"73","RODARMS4_08U","RODARMS2A","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues","8Tc","T_c"
"74","RODARMS4_09D","RODARMS2A","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues","9Bc","B_c"
"75","RODARMS4_09U","RODARMS2A","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues","9To","T_o"
"76","RODARMS4_10D","RODARMS2A","RODARMS","RODARMS2","10","B","o","Ile_aux_Fous","Rodrigues","10Bo","B_o"
"80","RODARMS5_02U","RODARMS2B","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues","2Tc","T_c"
"81","RODARMS5_03D","RODARMS2B","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues","3Bc","B_c"
"82","RODARMS5_03U","RODARMS2B","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues","3To","T_o"
"83","RODARMS5_04D","RODARMS2B","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues","4Bo","B_o"
"84","RODARMS5_04U","RODARMS2B","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues","4Tc","T_c"
"85","RODARMS5_05D","RODARMS2B","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues","5Bc","B_c"
"86","RODARMS5_05U","RODARMS2B","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues","5To","T_o"
"87","RODARMS5_06D","RODARMS2B","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues","6Bo","B_o"
"88","RODARMS5_06U","RODARMS2B","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues","6Tc","T_c"
"89","RODARMS5_07D","RODARMS2B","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues","7Bc","B_c"
"90","RODARMS5_07U","RODARMS2B","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues","7To","T_o"
"91","RODARMS5_08D","RODARMS2B","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues","8Bo","B_o"
"92","RODARMS5_08U","RODARMS2B","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues","8Tc","T_c"
"93","RODARMS5_09D","RODARMS2B","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues","9Bc","B_c"
"94","RODARMS5_09U","RODARMS2B","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues","9To","T_o"
"95","RODARMS5_10D","RODARMS2B","RODARMS","RODARMS2","10","B","o","Ile_aux_Fous","Rodrigues","10Bo","B_o"
"99","RODARMS6_02U","RODARMS2C","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues","2Tc","T_c"
"100","RODARMS6_03D","RODARMS2C","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues","3Bc","B_c"
"101","RODARMS6_03U","RODARMS2C","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues","3To","T_o"
"102","RODARMS6_04D","RODARMS2C","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues","4Bo","B_o"
