"","T_1A","T_1B","T_2A","T_2B","T_3A","T_3B"
"2022-02-13",26.9134166666667,26.9399583333333,26.5882380952381,26.6035119047619,26.2286369047619,26.1991964285714
"2022-02-14",26.9230357142857,26.9517797619048,26.6349226190476,26.6492083333333,26.0533571428571,26.0220476190476
"2022-02-15",26.9311904761905,26.9618214285714,26.7053928571429,26.7211130952381,26.019005952381,25.9904702380952
"2022-02-16",26.9671726190476,26.9977916666667,26.7475535714286,26.7642797619048,25.9859642857143,25.9537857142857
"2022-02-17",27.0858214285714,27.1153571428571,26.870630952381,26.8865119047619,26.0578333333333,26.0344880952381
"2022-02-18",27.077255952381,27.1054880952381,26.8935654761905,26.912625,26.213130952381,26.1913452380952
"2022-02-19",27.1046369047619,27.135375,26.9193154761905,26.9370654761905,26.3574166666667,26.329244047619
"2022-02-20",27.0551607142857,27.0871785714286,26.9044642857143,26.9233869047619,26.4241488095238,26.3936369047619
"2022-02-21",27.0518630952381,27.0829464285714,26.8802976190476,26.8982023809524,26.5998452380952,26.566875
"2022-02-22",27.1147916666667,27.1454523809524,26.9155654761905,26.9334880952381,26.6587916666667,26.6255297619048
"2022-02-23",27.1199166666667,27.1507797619048,26.8982321428571,26.9108154761905,26.7148392857143,26.6859523809524
"2022-02-24",27.1439642857143,27.1730714285714,26.944505952381,26.957125,26.7747083333333,26.7450714285714
"2022-02-25",27.1770833333333,27.2074880952381,26.9961904761905,27.0088154761905,26.7946309523809,26.766875
"2022-02-26",27.2037619047619,27.2346011904762,27.0224880952381,27.0390238095238,26.804744047619,26.7829047619048
"2022-02-27",27.2894047619048,27.3189821428571,27.1553273809524,27.1739464285714,26.8985178571429,26.8775297619048
"2022-02-28",27.3607976190476,27.3896726190476,27.2096964285714,27.2291726190476,26.9029642857143,26.8838392857143
"2022-03-01",27.4091666666667,27.4377738095238,27.2854226190476,27.3044821428571,26.9951428571429,26.9741011904762
"2022-03-02",27.522505952381,27.5522321428571,27.3976369047619,27.4204464285714,27.0785892857143,27.0525297619048
"2022-03-03",27.5965,27.6266607142857,27.4457619047619,27.4640238095238,27.1292797619048,27.1030892857143
