"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island"
"191","P50ARMS2A_5T","P50ARMS2A","P50ARMS","P50ARMS2","5","T","c","Saint_Leu","Reunion"
"192","P50ARMS2A_6B","P50ARMS2A","P50ARMS","P50ARMS2","6","B","c","Saint_Leu","Reunion"
"193","P50ARMS2A_6T","P50ARMS2A","P50ARMS","P50ARMS2","6","T","o","Saint_Leu","Reunion"
"194","P50ARMS2A_7B","P50ARMS2A","P50ARMS","P50ARMS2","7","B","o","Saint_Leu","Reunion"
"195","P50ARMS2A_7T","P50ARMS2A","P50ARMS","P50ARMS2","7","T","c","Saint_Leu","Reunion"
"196","P50ARMS2A_8B","P50ARMS2A","P50ARMS","P50ARMS2","8","B","c","Saint_Leu","Reunion"
"197","P50ARMS2A_8T","P50ARMS2A","P50ARMS","P50ARMS2","8","T","o","Saint_Leu","Reunion"
"198","P50ARMS2A_9B","P50ARMS2A","P50ARMS","P50ARMS2","9","B","o","Saint_Leu","Reunion"
"199","P50ARMS2B_1T","P50ARMS2B","P50ARMS","P50ARMS2","1","T","c","Saint_Leu","Reunion"
"200","P50ARMS2B_2B","P50ARMS2B","P50ARMS","P50ARMS2","2","B","c","Saint_Leu","Reunion"
"201","P50ARMS2B_2T","P50ARMS2B","P50ARMS","P50ARMS2","2","T","o","Saint_Leu","Reunion"
"202","P50ARMS2B_3B","P50ARMS2B","P50ARMS","P50ARMS2","3","B","o","Saint_Leu","Reunion"
"203","P50ARMS2B_3T","P50ARMS2B","P50ARMS","P50ARMS2","3","T","c","Saint_Leu","Reunion"
"204","P50ARMS2B_4B","P50ARMS2B","P50ARMS","P50ARMS2","4","B","c","Saint_Leu","Reunion"
"205","P50ARMS2B_4T","P50ARMS2B","P50ARMS","P50ARMS2","4","T","o","Saint_Leu","Reunion"
"206","P50ARMS2B_5B","P50ARMS2B","P50ARMS","P50ARMS2","5","B","o","Saint_Leu","Reunion"
"207","P50ARMS2B_5T","P50ARMS2B","P50ARMS","P50ARMS2","5","T","c","Saint_Leu","Reunion"
"208","P50ARMS2B_6B","P50ARMS2B","P50ARMS","P50ARMS2","6","B","c","Saint_Leu","Reunion"
"209","P50ARMS2B_6T","P50ARMS2B","P50ARMS","P50ARMS2","6","T","o","Saint_Leu","Reunion"
"210","P50ARMS2B_7B","P50ARMS2B","P50ARMS","P50ARMS2","7","B","o","Saint_Leu","Reunion"
"211","P50ARMS2B_7T","P50ARMS2B","P50ARMS","P50ARMS2","7","T","c","Saint_Leu","Reunion"
"212","P50ARMS2B_8B","P50ARMS2B","P50ARMS","P50ARMS2","8","B","c","Saint_Leu","Reunion"
"213","P50ARMS2B_8T","P50ARMS2B","P50ARMS","P50ARMS2","8","T","o","Saint_Leu","Reunion"
"214","P50ARMS2B_9B","P50ARMS2B","P50ARMS","P50ARMS2","9","B","o","Saint_Leu","Reunion"
"215","P50ARMS2C_1T","P50ARMS2C","P50ARMS","P50ARMS2","1","T","c","Saint_Leu","Reunion"
"216","P50ARMS2C_2B","P50ARMS2C","P50ARMS","P50ARMS2","2","B","c","Saint_Leu","Reunion"
"217","P50ARMS2C_2T","P50ARMS2C","P50ARMS","P50ARMS2","2","T","o","Saint_Leu","Reunion"
"218","P50ARMS2C_3B","P50ARMS2C","P50ARMS","P50ARMS2","3","B","o","Saint_Leu","Reunion"
"219","P50ARMS2C_3T","P50ARMS2C","P50ARMS","P50ARMS2","3","T","c","Saint_Leu","Reunion"
"220","P50ARMS2C_4B","P50ARMS2C","P50ARMS","P50ARMS2","4","B","c","Saint_Leu","Reunion"
"221","P50ARMS2C_4T","P50ARMS2C","P50ARMS","P50ARMS2","4","T","o","Saint_Leu","Reunion"
"222","P50ARMS2C_5B","P50ARMS2C","P50ARMS","P50ARMS2","5","B","o","Saint_Leu","Reunion"
"223","P50ARMS2C_5T","P50ARMS2C","P50ARMS","P50ARMS2","5","T","c","Saint_Leu","Reunion"
"224","P50ARMS2C_6B","P50ARMS2C","P50ARMS","P50ARMS2","6","B","c","Saint_Leu","Reunion"
"225","P50ARMS2C_6T","P50ARMS2C","P50ARMS","P50ARMS2","6","T","o","Saint_Leu","Reunion"
"226","P50ARMS2C_7B","P50ARMS2C","P50ARMS","P50ARMS2","7","B","o","Saint_Leu","Reunion"
"227","P50ARMS2C_7T","P50ARMS2C","P50ARMS","P50ARMS2","7","T","c","Saint_Leu","Reunion"
"228","P50ARMS2C_8B","P50ARMS2C","P50ARMS","P50ARMS2","8","B","c","Saint_Leu","Reunion"
"229","P50ARMS2C_8T","P50ARMS2C","P50ARMS","P50ARMS2","8","T","o","Saint_Leu","Reunion"
"230","P50ARMS2C_9B","P50ARMS2C","P50ARMS","P50ARMS2","9","B","o","Saint_Leu","Reunion"
"231","P50ARMS3A_1T","P50ARMS3A","P50ARMS","P50ARMS3","1","T","c","Grand_Bois","Reunion"
"232","P50ARMS3A_2B","P50ARMS3A","P50ARMS","P50ARMS3","2","B","c","Grand_Bois","Reunion"
"233","P50ARMS3A_2T","P50ARMS3A","P50ARMS","P50ARMS3","2","T","o","Grand_Bois","Reunion"
"234","P50ARMS3A_3B","P50ARMS3A","P50ARMS","P50ARMS3","3","B","o","Grand_Bois","Reunion"
"235","P50ARMS3A_3T","P50ARMS3A","P50ARMS","P50ARMS3","3","T","c","Grand_Bois","Reunion"
"236","P50ARMS3A_4B","P50ARMS3A","P50ARMS","P50ARMS3","4","B","c","Grand_Bois","Reunion"
"237","P50ARMS3A_4T","P50ARMS3A","P50ARMS","P50ARMS3","4","T","o","Grand_Bois","Reunion"
